U-238(n,total fission) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 0.000929055
1.03125E-05 0.000914870
1.06250E-05 0.000901316
1.09375E-05 0.000888347
1.12500E-05 0.000875922
1.15625E-05 0.000864004
1.18750E-05 0.000852560
1.21875E-05 0.000841559
1.25000E-05 0.000830972
1.28125E-05 0.000820776
1.31250E-05 0.000810946
1.34375E-05 0.000801461
1.37500E-05 0.000792301
1.43750E-05 0.000774886
1.50000E-05 0.000758571
1.56250E-05 0.000743245
1.62500E-05 0.000728811
1.68750E-05 0.000715188
1.75000E-05 0.000702300
1.81250E-05 0.000690085
1.87500E-05 0.000678487
1.93750E-05 0.000667454
2.00000E-05 0.000656942
2.09375E-05 0.000642066
2.18750E-05 0.000628157
2.28125E-05 0.000615114
2.37500E-05 0.000602851
2.46875E-05 0.000591294
2.56250E-05 0.000580377
2.65625E-05 0.000570043
2.75000E-05 0.000560242
2.84375E-05 0.000550930
2.93750E-05 0.000542068
3.03125E-05 0.000533619
3.12500E-05 0.000525554
3.21875E-05 0.000517844
3.31250E-05 0.000510463
3.40625E-05 0.000503390
3.50000E-05 0.000496602
3.59375E-05 0.000490082
3.68750E-05 0.000483812
3.78125E-05 0.000477777
3.87500E-05 0.000471962
3.96875E-05 0.000466354
4.06250E-05 0.000460942
4.25000E-05 0.000450659
4.43750E-05 0.000441036
4.62500E-05 0.000432003
4.81250E-05 0.000423504
5.00000E-05 0.000415488
5.15625E-05 0.000409144
5.31250E-05 0.000403082
5.46875E-05 0.000397282
5.62500E-05 0.000391726
5.78125E-05 0.000386396
5.93750E-05 0.000381278
6.09375E-05 0.000376358
6.25000E-05 0.000371624
6.40625E-05 0.000367064
6.56250E-05 0.000362668
6.71875E-05 0.000358426
6.87500E-05 0.000354330
7.18750E-05 0.000346541
7.50000E-05 0.000339245
7.81250E-05 0.000332391
8.12500E-05 0.000325936
8.43750E-05 0.000319844
8.75000E-05 0.000314080
9.06250E-05 0.000308618
9.37500E-05 0.000303430
9.68750E-05 0.000298496
0.000100000 0.000293795
0.000103125 0.000289310
0.000106250 0.000285024
0.000109375 0.000280922
0.000112500 0.000276993
0.000115625 0.000273225
0.000118750 0.000269606
0.000121875 0.000266127
0.000125000 0.000262779
0.000128125 0.000259555
0.000131250 0.000256446
0.000134375 0.000253447
0.000137500 0.000250550
0.000143750 0.000245043
0.000150000 0.000239884
0.000156250 0.000235037
0.000162500 0.000230473
0.000168750 0.000226165
0.000175000 0.000222090
0.000181250 0.000218227
0.000187500 0.000214559
0.000193750 0.000211070
0.000200000 0.000207746
0.000209375 0.000203042
0.000218750 0.000198644
0.000228125 0.000194519
0.000237500 0.000190642
0.000246875 0.000186987
0.000256250 0.000183535
0.000265625 0.000180267
0.000275000 0.000177168
0.000284375 0.000174223
0.000293750 0.000171420
0.000303125 0.000168749
0.000312500 0.000166199
0.000321875 0.000163760
0.000331250 0.000161427
0.000340625 0.000159190
0.000350000 0.000157043
0.000359375 0.000154982
0.000368750 0.000152999
0.000378125 0.000151090
0.000387500 0.000149252
0.000396875 0.000147478
0.000406250 0.000145767
0.000425000 0.000142515
0.000443750 0.000139472
0.000462500 0.000136616
0.000481250 0.000133928
0.000500000 0.000131393
0.000515625 0.000129387
0.000531250 0.000127471
0.000546875 0.000125637
0.000562500 0.000123880
0.000578125 0.000122194
0.000593750 0.000120576
0.000609375 0.000119020
0.000625000 0.000117523
0.000640625 0.000116081
0.000656250 0.000114691
0.000671875 0.000113350
0.000687500 0.000112054
0.000718750 0.000109592
0.000750000 0.000107285
0.000781250 0.000105117
0.000812500 0.000103076
0.000843750 0.000101150
0.000875000 9.93273E-05
0.000906250 9.76000E-05
0.000937500 9.59598E-05
0.000968750 9.43997E-05
0.00100000 9.29132E-05
0.00103125 9.14949E-05
0.00106250 9.01396E-05
0.00109375 8.88429E-05
0.00112500 8.76005E-05
0.00115625 8.64089E-05
0.00118750 8.52646E-05
0.00121875 8.41646E-05
0.00125000 8.31062E-05
0.00128125 8.20867E-05
0.00131250 8.11038E-05
0.00134375 8.01555E-05
0.00137500 7.92396E-05
0.00143750 7.74984E-05
0.00150000 7.58671E-05
0.00156250 7.43347E-05
0.00162500 7.28916E-05
0.00168750 7.15295E-05
0.00175000 7.02409E-05
0.00181250 6.90196E-05
0.00187500 6.78599E-05
0.00193750 6.67568E-05
0.00200000 6.57058E-05
0.00209375 6.42184E-05
0.00218750 6.28277E-05
0.00228125 6.15236E-05
0.00237500 6.02975E-05
0.00246875 5.91419E-05
0.00256250 5.80503E-05
0.00265625 5.70171E-05
0.00275000 5.60371E-05
0.00284375 5.51061E-05
0.00293750 5.42200E-05
0.00303125 5.33753E-05
0.00312500 5.25690E-05
0.00321875 5.17981E-05
0.00331250 5.10603E-05
0.00340625 5.03531E-05
0.00350000 4.96745E-05
0.00359375 4.90227E-05
0.00368750 4.83959E-05
0.00378125 4.77926E-05
0.00387500 4.72113E-05
0.00396875 4.66508E-05
0.00406250 4.61097E-05
0.00425000 4.50818E-05
0.00443750 4.41198E-05
0.00462500 4.32169E-05
0.00481250 4.23673E-05
0.00500000 4.15659E-05
0.00515625 4.09318E-05
0.00531250 4.03259E-05
0.00546875 3.97461E-05
0.00562500 3.91907E-05
0.00578125 3.86580E-05
0.00593750 3.81465E-05
0.00609375 3.76548E-05
0.00625000 3.71816E-05
0.00640625 3.67259E-05
0.00656250 3.62866E-05
0.00671875 3.58627E-05
0.00687500 3.54534E-05
0.00718750 3.46751E-05
0.00750000 3.39460E-05
0.00781250 3.32610E-05
0.00812500 3.26160E-05
0.00843750 3.20071E-05
0.00875000 3.14311E-05
0.00906250 3.08851E-05
0.00937500 3.03667E-05
0.00968750 2.98736E-05
0.0100000 2.94038E-05
0.0103125 2.89556E-05
0.0106250 2.85273E-05
0.0109375 2.81175E-05
0.0112500 2.77249E-05
0.0115625 2.73484E-05
0.0118750 2.69869E-05
0.0121875 2.66394E-05
0.0125000 2.63051E-05
0.0128125 2.59831E-05
0.0131250 2.56727E-05
0.0134375 2.53731E-05
0.0137500 2.50839E-05
0.0143750 2.45340E-05
0.0150000 2.40188E-05
0.0156250 2.35348E-05
0.0162500 2.30790E-05
0.0168750 2.26487E-05
0.0175000 2.22417E-05
0.0181250 2.18559E-05
0.0187500 2.14896E-05
0.0193750 2.11412E-05
0.0200000 2.08093E-05
0.0206625 2.04741E-05
0.0213250 2.01546E-05
0.0219875 1.98497E-05
0.0226500 1.95583E-05
0.0233125 1.92794E-05
0.0239750 1.90123E-05
0.0246375 1.87559E-05
0.0253000 1.85097E-05
0.0264578 1.81020E-05
0.0276156 1.77202E-05
0.0287734 1.73617E-05
0.0299313 1.70243E-05
0.0310891 1.67061E-05
0.0322469 1.64052E-05
0.0334047 1.61202E-05
0.0345625 1.58496E-05
0.0355274 1.56343E-05
0.0364922 1.54275E-05
0.0374570 1.52287E-05
0.0384219 1.50375E-05
0.0393867 1.48533E-05
0.0403516 1.46758E-05
0.0413164 1.45046E-05
0.0422813 1.43393E-05
0.0442109 1.40250E-05
0.0461406 1.37308E-05
0.0480703 1.34545E-05
0.0500000 1.31944E-05
0.0515625 1.29947E-05
0.0531250 1.28038E-05
0.0546875 1.26212E-05
0.0562500 1.24463E-05
0.0578125 1.22785E-05
0.0593750 1.21175E-05
0.0609375 1.19627E-05
0.0625000 1.18138E-05
0.0640625 1.16704E-05
0.0656250 1.15323E-05
0.0671875 1.13990E-05
0.0687500 1.12704E-05
0.0718750 1.10258E-05
0.0750000 1.07966E-05
0.0781250 1.05812E-05
0.0812500 1.03785E-05
0.0843750 1.01871E-05
0.0875000 1.00061E-05
0.0906250 9.83467E-06
0.0937500 9.67191E-06
0.0968750 9.51713E-06
0.100000 9.36970E-06
0.103125 9.22908E-06
0.106250 9.09474E-06
0.109375 8.96625E-06
0.112500 8.84318E-06
0.115625 8.72517E-06
0.118750 8.61188E-06
0.121875 8.50301E-06
0.125000 8.39829E-06
0.128125 8.29747E-06
0.131250 8.20034E-06
0.134375 8.10670E-06
0.137500 8.01634E-06
