Zircaloy-2 (Grade R60802) Total Macroscopic Cross-Section
Energy(eV) XS(b)
1e-05 1.43629e+24
1.03125e-05 1.41485e+24
1.0625e-05 1.39437e+24
1.09375e-05 1.37479e+24
1.125e-05 1.35603e+24
1.15625e-05 1.33804e+24
1.1875e-05 1.32077e+24
1.21875e-05 1.30418e+24
1.25e-05 1.28822e+24
1.28125e-05 1.27285e+24
1.3125e-05 1.25805e+24
1.34375e-05 1.24376e+24
1.375e-05 1.22997e+24
1.4375e-05 1.20376e+24
1.5e-05 1.17923e+24
1.5625e-05 1.1562e+24
1.625e-05 1.13453e+24
1.6875e-05 1.11409e+24
1.75e-05 1.09476e+24
1.8125e-05 1.07646e+24
1.875e-05 1.05909e+24
1.9375e-05 1.04258e+24
2e-05 1.02686e+24
2.09375e-05 1.00463e+24
2.1875e-05 9.83875e+23
2.28125e-05 9.64429e+23
2.375e-05 9.46167e+23
2.46875e-05 9.28971e+23
2.5625e-05 9.12743e+23
2.65625e-05 8.97398e+23
2.75e-05 8.82861e+23
2.84375e-05 8.69067e+23
2.9375e-05 8.55949e+23
3.03125e-05 8.43455e+23
3.125e-05 8.31543e+23
3.21875e-05 8.20163e+23
3.3125e-05 8.09285e+23
3.40625e-05 7.98866e+23
3.5e-05 7.88884e+23
3.59375e-05 7.79303e+23
3.6875e-05 7.70098e+23
3.78125e-05 7.61246e+23
3.875e-05 7.52727e+23
3.96875e-05 7.44522e+23
4.0625e-05 7.36605e+23
4.25e-05 7.21596e+23
4.4375e-05 7.07575e+23
4.625e-05 6.94444e+23
4.8125e-05 6.82113e+23
5e-05 6.70506e+23
5.15625e-05 6.61336e+23
5.3125e-05 6.52589e+23
5.46875e-05 6.44236e+23
5.625e-05 6.36245e+23
5.78125e-05 6.28595e+23
5.9375e-05 6.21259e+23
6.09375e-05 6.1422e+23
6.25e-05 6.07456e+23
6.40625e-05 6.00954e+23
6.5625e-05 5.94692e+23
6.71875e-05 5.88666e+23
6.875e-05 5.82854e+23
7.1875e-05 5.71829e+23
7.5e-05 5.61536e+23
7.8125e-05 5.51895e+23
8.125e-05 5.42852e+23
8.4375e-05 5.34337e+23
8.75e-05 5.26311e+23
9.0625e-05 5.18731e+23
9.375e-05 5.11557e+23
9.6875e-05 5.04754e+23
0.0001 4.98291e+23
0.000103125 4.92143e+23
0.00010625 4.86292e+23
0.000109375 4.80708e+23
0.0001125 4.75376e+23
0.000115625 4.7028e+23
0.00011875 4.65399e+23
0.000121875 4.60722e+23
0.000125 4.56238e+23
0.000128125 4.51928e+23
0.00013125 4.47789e+23
0.000134375 4.43811e+23
0.0001375 4.39977e+23
0.00014375 4.32722e+23
0.00015 4.25968e+23
0.00015625 4.19662e+23
0.0001625 4.13759e+23
0.00016875 4.08222e+23
0.000175 4.03015e+23
0.00018125 3.98109e+23
0.0001875 3.93478e+23
0.00019375 3.89099e+23
0.0002 3.84952e+23
0.000209375 3.79124e+23
0.00021875 3.73723e+23
0.000228125 3.68701e+23
0.0002375 3.6402e+23
0.000246875 3.59645e+23
0.00025625 3.55547e+23
0.000265625 3.517e+23
0.000275 3.48081e+23
0.000284375 3.4467e+23
0.00029375 3.41451e+23
0.000303125 3.38406e+23
0.0003125 3.35522e+23
0.000321875 3.32786e+23
0.00033125 3.30188e+23
0.000340625 3.27717e+23
0.00035 3.25364e+23
0.000359375 3.23121e+23
0.00036875 3.2098e+23
0.000378125 3.18934e+23
0.0003875 3.16977e+23
0.000396875 3.15104e+23
0.00040625 3.13309e+23
0.000425 3.09936e+23
0.00044375 3.06822e+23
0.0004625 3.0394e+23
0.00048125 3.01265e+23
0.0005 2.98774e+23
0.000515625 2.96827e+23
0.00053125 2.94987e+23
0.000546875 2.93245e+23
0.0005625 2.91592e+23
0.000578125 2.90024e+23
0.00059375 2.88534e+23
0.000609375 2.87114e+23
0.000625 2.85763e+23
0.000640625 2.84473e+23
0.00065625 2.83242e+23
0.000671875 2.82064e+23
0.0006875 2.80938e+23
0.00071875 2.78826e+23
0.00075 2.76882e+23
0.00078125 2.75087e+23
0.0008125 2.73426e+23
0.00084375 2.71883e+23
0.000875 2.70446e+23
0.00090625 2.69105e+23
0.0009375 2.67852e+23
0.00096875 2.66677e+23
0.001 2.65573e+23
0.00103125 2.64534e+23
0.0010625 2.63555e+23
0.00109375 2.62632e+23
0.001125 2.61757e+23
0.00115625 2.6093e+23
0.0011875 2.60145e+23
0.00121875 2.59399e+23
0.00125 2.5869e+23
0.00128125 2.58016e+23
0.0013125 2.57372e+23
0.00134375 2.56759e+23
0.001375 2.56172e+23
0.0014375 2.55074e+23
0.0015 2.54067e+23
0.0015625 2.53139e+23
0.001625 2.52281e+23
0.0016875 2.51486e+23
0.00175 2.50747e+23
0.0018125 2.50058e+23
0.001875 2.49415e+23
0.0019375 2.48812e+23
0.002 2.48247e+23
0.00209375 2.47461e+23
0.0021875 2.46742e+23
0.00228125 2.46081e+23
0.002375 2.45471e+23
0.00246875 2.44908e+23
0.0025625 2.44384e+23
0.00265625 2.43898e+23
0.00275 2.43443e+23
0.00284375 2.43019e+23
0.0029375 2.42621e+23
0.00303125 2.42247e+23
0.003125 2.41895e+23
0.00321875 2.41564e+23
0.0033125 2.41251e+23
0.00340625 2.40955e+23
0.0035 2.40675e+23
0.00359375 2.40408e+23
0.0036875 2.40155e+23
0.00378125 2.39915e+23
0.003875 2.39686e+23
0.00396875 2.39468e+23
0.0040625 2.39259e+23
0.00425 2.38869e+23
0.0044375 2.38512e+23
0.004625 2.38182e+23
0.0048125 2.37878e+23
0.005 2.37597e+23
0.00515625 2.37377e+23
0.0053125 2.37171e+23
0.00546875 2.36975e+23
0.005625 2.36791e+23
0.00578125 2.36616e+23
0.0059375 2.3645e+23
0.00609375 2.36293e+23
0.00625 2.36143e+23
0.00640625 2.36e+23
0.0065625 2.35864e+23
0.00671875 2.35734e+23
0.006875 2.3561e+23
0.0071875 2.35378e+23
0.0075 2.35165e+23
0.0078125 2.34968e+23
