mH2O Total Macroscopic Cross-Section
Energy(eV) XS(b)
1e-05 8.13791e+25
1.03125e-05 8.01365e+25
1.0625e-05 7.89499e+25
1.09375e-05 7.7814e+25
1.125e-05 7.67266e+25
1.15625e-05 7.5683e+25
1.1875e-05 7.46804e+25
1.21875e-05 7.37175e+25
1.25e-05 7.27908e+25
1.28125e-05 7.18977e+25
1.3125e-05 7.10373e+25
1.34375e-05 7.02064e+25
1.375e-05 6.94042e+25
1.4375e-05 6.78797e+25
1.5e-05 6.64512e+25
1.54625e-05 6.5458e+25
1.5625e-05 6.51094e+25
1.59249e-05 6.45027e+25
1.625e-05 6.38456e+25
1.63874e-05 6.35832e+25
1.68498e-05 6.27008e+25
1.6875e-05 6.26527e+25
1.69531e-05 6.25117e+25
1.70313e-05 6.23704e+25
1.71875e-05 6.20884e+25
1.75e-05 6.15244e+25
1.8125e-05 6.0455e+25
1.875e-05 5.94395e+25
1.9375e-05 5.84736e+25
2e-05 5.75533e+25
2.08306e-05 5.63993e+25
2.09375e-05 5.6251e+25
2.16611e-05 5.53109e+25
2.1875e-05 5.50333e+25
2.24917e-05 5.42819e+25
2.28125e-05 5.38915e+25
2.33222e-05 5.33075e+25
2.375e-05 5.2818e+25
2.41528e-05 5.2383e+25
2.46875e-05 5.18062e+25
2.49833e-05 5.15044e+25
2.5625e-05 5.08505e+25
2.58139e-05 5.06681e+25
2.65625e-05 4.99459e+25
2.66444e-05 4.98708e+25
2.75e-05 4.90878e+25
2.84375e-05 4.82727e+25
2.9375e-05 4.74969e+25
3.03125e-05 4.67574e+25
3.125e-05 4.60514e+25
3.21875e-05 4.53765e+25
3.3125e-05 4.47305e+25
3.40625e-05 4.41114e+25
3.5e-05 4.35173e+25
3.59375e-05 4.29466e+25
3.625e-05 4.27636e+25
3.6875e-05 4.2398e+25
3.75e-05 4.20457e+25
3.78125e-05 4.18697e+25
3.875e-05 4.13607e+25
3.96875e-05 4.087e+25
4e-05 4.0712e+25
4.0625e-05 4.03963e+25
4.125e-05 4.00961e+25
4.25e-05 3.94963e+25
4.4375e-05 3.86541e+25
4.625e-05 3.78637e+25
4.8125e-05 3.712e+25
5e-05 3.64185e+25
5.15625e-05 3.58634e+25
5.3125e-05 3.5333e+25
5.46875e-05 3.48255e+25
5.625e-05 3.43393e+25
5.78125e-05 3.3873e+25
5.9375e-05 3.34252e+25
6.09375e-05 3.29948e+25
6.25e-05 3.25806e+25
6.40625e-05 3.21817e+25
6.5625e-05 3.17971e+25
6.71875e-05 3.14262e+25
6.875e-05 3.10677e+25
7.1875e-05 3.03864e+25
7.5e-05 2.97482e+25
7.75e-05 2.92685e+25
7.8125e-05 2.91488e+25
8e-05 2.88099e+25
8.125e-05 2.85842e+25
8.375e-05 2.81578e+25
8.4375e-05 2.80514e+25
8.75e-05 2.75473e+25
9.0625e-05 2.70696e+25
9.375e-05 2.6616e+25
9.6875e-05 2.61846e+25
0.0001 2.57736e+25
0.000103125 2.53814e+25
0.00010625 2.50067e+25
0.000109375 2.46482e+25
0.0001125 2.43047e+25
0.000115625 2.39753e+25
0.00011875 2.36589e+25
0.000121875 2.33549e+25
0.000125 2.30623e+25
0.000128125 2.27806e+25
0.00013125 2.25089e+25
0.000134375 2.22469e+25
0.0001375 2.19937e+25
0.00014375 2.15125e+25
0.00015 2.10618e+25
0.000154625 2.07485e+25
0.00015625 2.06385e+25
0.000159249 2.04471e+25
0.0001625 2.02399e+25
0.000163874 2.01571e+25
0.000168498 1.98787e+25
0.00016875 1.98635e+25
0.000169531 1.9819e+25
0.000170313 1.97745e+25
0.000171875 1.96855e+25
0.000175 1.95077e+25
0.00018125 1.91704e+25
0.0001875 1.88502e+25
0.00019375 1.85456e+25
0.0002 1.82554e+25
0.000208306 1.78916e+25
0.000209375 1.78449e+25
0.000216611 1.75486e+25
0.00021875 1.74611e+25
0.000224917 1.72243e+25
0.000228125 1.71012e+25
0.000233222 1.69172e+25
0.0002375 1.67629e+25
0.000241528 1.66259e+25
0.000246875 1.64442e+25
0.000249833 1.63491e+25
0.00025625 1.61431e+25
0.000258139 1.60856e+25
0.000265625 1.58581e+25
0.000266444 1.58345e+25
0.000275 1.55879e+25
0.000284375 1.53312e+25
0.00029375 1.5087e+25
0.000303125 1.48542e+25
0.0003125 1.46319e+25
0.000321875 1.44195e+25
0.00033125 1.42162e+25
0.000340625 1.40214e+25
0.00035 1.38345e+25
0.000359375 1.36551e+25
0.0003625 1.35975e+25
0.00036875 1.34825e+25
0.000375 1.33717e+25
0.000378125 1.33163e+25
0.0003875 1.31563e+25
0.000396875 1.30021e+25
0.0004 1.29524e+25
0.00040625 1.28532e+25
0.0004125 1.27588e+25
0.000425 1.25703e+25
0.00044375 1.23057e+25
0.0004625 1.20575e+25
0.00048125 1.18239e+25
0.0005 1.16037e+25
0.000515625 1.14295e+25
0.00053125 1.12631e+25
0.000546875 1.11039e+25
0.0005625 1.09514e+25
0.000578125 1.08052e+25
0.00059375 1.06648e+25
0.000609375 1.05299e+25
0.000625 1.04001e+25
0.000640625 1.02752e+25
0.00065625 1.01547e+25
0.000671875 1.00385e+25
0.0006875 9.92627e+24
0.00071875 9.71305e+24
0.00075 9.51342e+24
0.000775 9.36343e+24
0.00078125 9.32597e+24
0.0008 9.22009e+24
0.0008125 9.14958e+24
0.0008375 9.01634e+24
0.00084375 8.98307e+24
0.000875 8.82571e+24
0.00090625 8.67656e+24
0.0009375 8.53506e+24
0.00096875 8.40052e+24
0.001 8.2724e+24
0.00103125 8.15022e+24
0.0010625 8.03351e+24
0.00109375 7.92191e+24
0.001125 7.81503e+24
0.00115625 7.71252e+24
0.0011875 7.61417e+24
0.00121875 7.51974e+24
0.00125 7.42879e+24
0.00128125 7.34133e+24
0.0013125 7.25701e+24
0.00134375 7.17568e+24
0.001375 7.09716e+24
0.0014375 6.94809e+24
0.0015 6.80849e+24
0.00154624 6.71156e+24
0.0015625 6.67751e+24
0.00159248 6.61836e+24
0.001625 6.55429e+24
0.00168495 6.44277e+24
0.0016875 6.43803e+24
0.00169531 6.4243e+24
0.00170313 6.41055e+24
0.00171875 6.3831e+24
