SA508 Gr.3 Steel Total Macroscopic Cross-Section
Energy(eV) XS(b)
1e-05 1.91498e+25
1.03125e-05 1.88591e+25
1.0625e-05 1.85814e+25
1.09375e-05 1.83156e+25
1.125e-05 1.80611e+25
1.15625e-05 1.78169e+25
1.1875e-05 1.75825e+25
1.21875e-05 1.73571e+25
1.25e-05 1.71403e+25
1.28125e-05 1.69314e+25
1.3125e-05 1.67301e+25
1.34375e-05 1.65359e+25
1.375e-05 1.63484e+25
1.4375e-05 1.59919e+25
1.5e-05 1.56579e+25
1.5625e-05 1.53442e+25
1.625e-05 1.50489e+25
1.6875e-05 1.47702e+25
1.75e-05 1.45066e+25
1.8125e-05 1.42568e+25
1.875e-05 1.40197e+25
1.9375e-05 1.37941e+25
2e-05 1.35793e+25
2.09375e-05 1.32752e+25
2.1875e-05 1.29911e+25
2.28125e-05 1.27247e+25
2.375e-05 1.24743e+25
2.46875e-05 1.22383e+25
2.5625e-05 1.20155e+25
2.65625e-05 1.18047e+25
2.75e-05 1.16048e+25
2.84375e-05 1.14148e+25
2.9375e-05 1.12342e+25
3.03125e-05 1.1062e+25
3.125e-05 1.08977e+25
3.21875e-05 1.07406e+25
3.3125e-05 1.05903e+25
3.40625e-05 1.04462e+25
3.5e-05 1.03081e+25
3.59375e-05 1.01754e+25
3.6875e-05 1.00478e+25
3.78125e-05 9.92509e+24
3.875e-05 9.80685e+24
3.96875e-05 9.69278e+24
4.0625e-05 9.5828e+24
4.25e-05 9.37393e+24
4.4375e-05 9.17852e+24
4.625e-05 8.99513e+24
4.8125e-05 8.82274e+24
5e-05 8.66023e+24
5.15625e-05 8.53165e+24
5.3125e-05 8.40887e+24
5.46875e-05 8.29142e+24
5.625e-05 8.17896e+24
5.78125e-05 8.07113e+24
5.9375e-05 7.96763e+24
6.09375e-05 7.86817e+24
6.25e-05 7.77251e+24
6.40625e-05 7.68041e+24
6.5625e-05 7.59166e+24
6.71875e-05 7.50606e+24
6.875e-05 7.42342e+24
7.1875e-05 7.2664e+24
7.5e-05 7.11943e+24
7.8125e-05 6.98149e+24
8.125e-05 6.85168e+24
8.4375e-05 6.72926e+24
8.75e-05 6.61354e+24
9.0625e-05 6.50396e+24
9.375e-05 6.39999e+24
9.6875e-05 6.30117e+24
0.0001 6.20709e+24
0.000103125 6.1174e+24
0.00010625 6.03177e+24
0.000109375 5.94989e+24
0.0001125 5.87151e+24
