U-238(n, g + total fission) ENDFB-8.0
Energy(eV) XS(b)
1e-05 134.557
1.03125e-05 132.503
1.0625e-05 130.54
1.09375e-05 128.661
1.125e-05 126.862
1.15625e-05 125.136
1.1875e-05 123.478
1.21875e-05 121.885
1.25e-05 120.352
1.28125e-05 118.875
1.3125e-05 117.451
1.34375e-05 116.078
1.375e-05 114.751
1.4375e-05 112.229
1.5e-05 109.866
1.5625e-05 107.646
1.625e-05 105.556
1.6875e-05 103.583
1.75e-05 101.716
1.8125e-05 99.9467
1.875e-05 98.2668
1.9375e-05 96.6689
2e-05 95.1464
2.09375e-05 92.9918
2.1875e-05 90.9773
2.28125e-05 89.0884
2.375e-05 87.3124
2.46875e-05 85.6385
2.5625e-05 84.0574
2.65625e-05 82.5607
2.75e-05 81.1412
2.84375e-05 79.7924
2.9375e-05 78.5089
3.03125e-05 77.2853
3.125e-05 76.1172
3.21875e-05 75.0005
3.3125e-05 73.9316
3.40625e-05 72.9071
3.5e-05 71.924
3.59375e-05 70.9797
3.6875e-05 70.0716
3.78125e-05 69.1975
3.875e-05 68.3554
3.96875e-05 67.5432
4.0625e-05 66.7593
4.25e-05 65.2701
4.4375e-05 63.8762
4.625e-05 62.568
4.8125e-05 61.3371
5e-05 60.1761
5.15625e-05 59.2573
5.3125e-05 58.3794
5.46875e-05 57.5394
5.625e-05 56.7346
5.78125e-05 55.9627
5.9375e-05 55.2214
6.09375e-05 54.5089
6.25e-05 53.8232
6.40625e-05 53.1628
6.5625e-05 52.5261
6.71875e-05 51.9118
6.875e-05 51.3185
7.1875e-05 50.1904
7.5e-05 49.1337
7.8125e-05 48.141
8.125e-05 47.2061
8.4375e-05 46.3237
8.75e-05 45.489
9.0625e-05 44.6979
9.375e-05 43.9466
9.6875e-05 43.232
0.0001 42.5512
0.000103125 41.9015
0.00010625 41.2807
0.000109375 40.6867
0.0001125 40.1177
0.000115625 39.5719
0.00011875 39.0477
0.000121875 38.5439
0.000125 38.059
0.000128125 37.5921
0.00013125 37.1419
0.000134375 36.7075
0.0001375 36.2879
0.00014375 35.4902
0.00015 34.743
0.00015625 34.0411
0.0001625 33.3801
0.00016875 32.7561
0.000175 32.1659
0.00018125 31.6065
0.0001875 31.0752
0.00019375 30.5699
0.0002 30.0885
