U-238(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 170.085
1.03125E-05 167.520
1.06250E-05 165.069
1.09375E-05 162.724
1.12500E-05 160.479
1.15625E-05 158.325
1.18750E-05 156.257
1.21875E-05 154.270
1.25000E-05 152.358
1.28125E-05 150.516
1.31250E-05 148.741
1.34375E-05 147.029
1.37500E-05 145.376
1.43750E-05 142.234
1.50000E-05 139.291
1.56250E-05 136.527
1.62500E-05 133.926
1.68750E-05 131.471
1.75000E-05 129.150
1.81250E-05 126.951
1.87500E-05 124.863
1.93750E-05 122.878
2.00000E-05 120.987
2.09375E-05 118.313
2.18750E-05 115.814
2.28125E-05 113.471
2.37500E-05 111.270
2.46875E-05 109.197
2.56250E-05 107.239
2.65625E-05 105.387
2.75000E-05 103.631
2.84375E-05 101.964
2.93750E-05 100.378
3.03125E-05 98.8671
3.12500E-05 97.4253
3.21875E-05 96.0476
3.31250E-05 94.7295
3.40625E-05 93.4668
3.50000E-05 92.2559
3.59375E-05 91.0931
3.68750E-05 89.9756
3.78125E-05 88.9004
3.87500E-05 87.8649
3.96875E-05 86.8669
4.06250E-05 85.9040
4.25000E-05 84.0761
4.43750E-05 82.3669
4.62500E-05 80.7643
4.81250E-05 79.2576
5.00000E-05 77.8379
5.15625E-05 76.7153
5.31250E-05 75.6435
5.46875E-05 74.6187
5.62500E-05 73.6376
5.78125E-05 72.6973
5.93750E-05 71.7950
6.09375E-05 70.9282
6.25000E-05 70.0948
6.40625E-05 69.2927
6.56250E-05 68.5199
6.71875E-05 67.7748
6.87500E-05 67.0557
7.18750E-05 65.6899
7.50000E-05 64.4122
7.81250E-05 63.2136
8.12500E-05 62.0863
8.43750E-05 61.0237
8.75000E-05 60.0198
9.06250E-05 59.0695
9.37500E-05 58.1682
9.68750E-05 57.3121
0.000100000 56.4973
0.000103125 55.7209
0.000106250 54.9798
0.000109375 54.2716
0.000112500 53.5938
0.000115625 52.9445
0.000118750 52.3217
0.000121875 51.7237
0.000125000 51.1488
0.000128125 50.5958
0.000131250 50.0632
0.000134375 49.5498
0.000137500 49.0545
0.000143750 48.1143
0.000150000 47.2353
0.000156250 46.4112
0.000162500 45.6365
0.000168750 44.9067
0.000175000 44.2175
0.000181250 43.5655
0.000187500 42.9474
0.000193750 42.3604
0.000200000 41.8021
0.000209375 41.0136
0.000218750 40.2780
0.000228125 39.5897
0.000237500 38.9440
0.000246875 38.3366
0.000256250 37.7641
0.000265625 37.2232
0.000275000 36.7111
0.000284375 36.2254
0.000293750 35.7640
0.000303125 35.3248
0.000312500 34.9063
0.000321875 34.5068
0.000331250 34.1250
0.000340625 33.7595
0.000350000 33.4094
0.000359375 33.0735
0.000368750 32.7509
0.000378125 32.4408
0.000387500 32.1425
0.000396875 31.8550
0.000406250 31.5780
0.000425000 31.0525
0.000443750 30.5617
0.000462500 30.1021
0.000481250 29.6704
0.000500000 29.2640
0.000515625 28.9429
0.000531250 28.6365
0.000546875 28.3438
0.000562500 28.0636
0.000578125 27.7953
0.000593750 27.5379
0.000609375 27.2908
0.000625000 27.0533
0.000640625 26.8247
0.000656250 26.6047
0.000671875 26.3925
0.000687500 26.1878
0.000718750 25.7992
0.000750000 25.4358
0.000781250 25.0949
0.000812500 24.7744
0.000843750 24.4724
0.000875000 24.1871
0.000906250 23.9170
0.000937500 23.6609
0.000968750 23.4175
0.00100000 23.1860
0.00103125 22.9652
0.00106250 22.7545
0.00109375 22.5531
0.00112500 22.3604
0.00115625 22.1756
0.00118750 21.9984
0.00121875 21.8282
0.00125000 21.6645
0.00128125 21.5070
0.00131250 21.3553
0.00134375 21.2090
0.00137500 21.0678
0.00143750 20.7996
0.00150000 20.5487
0.00156250 20.3133
0.00162500 20.0919
0.00168750 19.8831
0.00175000 19.6858
0.00181250 19.4989
0.00187500 19.3217
0.00193750 19.1532
0.00200000 18.9928
0.00209375 18.7661
0.00218750 18.5543
0.00228125 18.3560
0.00237500 18.1697
0.00246875 17.9942
0.00256250 17.8286
0.00265625 17.6720
0.00275000 17.5236
0.00284375 17.3827
0.00293750 17.2487
0.00303125 17.1210
0.00312500 16.9993
0.00321875 16.8829
0.00331250 16.7716
0.00340625 16.6650
0.00350000 16.5627
0.00359375 16.4645
0.00368750 16.3702
0.00378125 16.2794
0.00387500 16.1920
0.00396875 16.1077
0.00406250 16.0264
0.00425000 15.8720
0.00443750 15.7277
0.00462500 15.5923
0.00481250 15.4650
0.00500000 15.3449
0.00515625 15.2500
0.00531250 15.1594
0.00546875 15.0727
0.00562500 14.9897
0.00578125 14.9101
0.00593750 14.8337
0.00609375 14.7603
0.00625000 14.6897
0.00640625 14.6217
0.00656250 14.5562
0.00671875 14.4930
0.00687500 14.4320
0.00718750 14.3160
0.00750000 14.2075
0.00781250 14.1056
0.00812500 14.0096
0.00843750 13.9191
0.00875000 13.8335
0.00906250 13.7524
0.00937500 13.6755
0.00968750 13.6023
0.0100000 13.5326
0.0103125 13.4661
0.0106250 13.4026
0.0109375 13.3419
0.0112500 13.2837
0.0115625 13.2280
0.0118750 13.1744
0.0121875 13.1230
0.0125000 13.0735
0.0128125 13.0258
0.0131250 12.9799
0.0134375 12.9356
0.0137500 12.8928
0.0143750 12.8115
0.0150000 12.7354
0.0156250 12.6639
0.0162500 12.5966
0.0168750 12.5331
0.0175000 12.4730
0.0181250 12.4161
0.0187500 12.3620
0.0193750 12.3106
0.0200000 12.2617
0.0206625 12.2123
0.0213250 12.1652
0.0219875 12.1202
0.0226500 12.0773
0.0233125 12.0362
0.0239750 11.9968
0.0246375 11.9591
0.0253000 11.9228
0.0264578 11.8628
0.0276156 11.8066
0.0287734 11.7538
0.0299313 11.7041
0.0310891 11.6573
0.0322469 11.6130
0.0334047 11.5711
0.0345625 11.5313
0.0355274 11.4996
0.0364922 11.4691
0.0374570 11.4399
0.0384219 11.4118
0.0393867 11.3847
0.0403516 11.3586
0.0413164 11.3334
0.0422813 11.3090
0.0442109 11.2628
0.0461406 11.2195
0.0480703 11.1788
0.0500000 11.1405
0.0515625 11.1111
0.0531250 11.0830
0.0546875 11.0561
0.0562500 11.0304
0.0578125 11.0057
0.0593750 10.9820
0.0609375 10.9591
0.0625000 10.9372
0.0640625 10.9161
0.0656250 10.8957
0.0671875 10.8760
0.0687500 10.8571
0.0718750 10.8210
0.0750000 10.7871
0.0781250 10.7553
0.0812500 10.7254
0.0843750 10.6971
0.0875000 10.6703
0.0906250 10.6449
0.0937500 10.6208
0.0968750 10.5978
0.100000 10.5760
0.103125 10.5551
0.106250 10.5351
0.109375 10.5160
0.112500 10.4977
0.115625 10.4801
0.118750 10.4633
0.121875 10.4470
0.125000 10.4314
0.128125 10.4163
0.131250 10.4018
0.134375 10.3878
0.137500 10.3743
0.143750 10.3485
0.150000 10.3243
0.156250 10.3015
0.162500 10.2801
0.168750 10.2598
0.175000 10.2406
0.181250 10.2223
0.187500 10.2050
0.193750 10.1884
0.200000 10.1727
0.209375 10.1504
