U-235(n, g + total fission) ENDFB-8.0
Energy(eV) XS(b)
1e-05 36645.3
1.03125e-05 36085.7
1.0625e-05 35551.1
1.09375e-05 35039.4
1.125e-05 34549.3
1.15625e-05 34079.2
1.1875e-05 33627.7
1.21875e-05 33193.8
1.25e-05 32776.2
1.28125e-05 32374
1.3125e-05 31986.3
1.34375e-05 31612.2
1.375e-05 31250.8
1.4375e-05 30563.8
1.5e-05 29920.2
1.5625e-05 29315.7
1.625e-05 28746.3
1.6875e-05 28208.9
1.75e-05 27700.5
1.8125e-05 27218.7
1.875e-05 26761.2
1.9375e-05 26325.9
2e-05 25911.3
2.05825e-05 25541.9
2.11651e-05 25187.9
2.17476e-05 24848.3
2.23302e-05 24521.9
2.29127e-05 24208.1
2.34952e-05 23906.1
2.40778e-05 23615.1
2.46603e-05 23334.4
2.58254e-05 22801.9
2.69905e-05 22304.3
2.81556e-05 21837.8
2.93206e-05 21399.5
3.01934e-05 21087.8
3.10662e-05 20789.5
3.1939e-05 20503.4
3.28117e-05 20228.8
3.36845e-05 19964.9
3.45573e-05 19711.2
3.54301e-05 19466.9
3.63028e-05 19231.4
3.71756e-05 19004.3
3.80484e-05 18784.9
3.97939e-05 18368.2
4.15395e-05 17978.1
4.3285e-05 17611.7
4.49638e-05 17279.8
4.66425e-05 16965.8
4.83213e-05 16668.4
5e-05 16386.2
5.15625e-05 16135.9
5.3125e-05 15896.8
5.46875e-05 15667.9
5.625e-05 15448.7
5.78125e-05 15238.4
5.9375e-05 15036.5
6.09375e-05 14842.4
6.25e-05 14655.6
6.40625e-05 14475.7
6.5625e-05 14302.2
6.71875e-05 14134.9
6.875e-05 13973.3
7.1875e-05 13666
7.5e-05 13378.1
7.8125e-05 13107.7
8.125e-05 12853
8.4375e-05 12612.6
8.75e-05 12385.2
9.0625e-05 12169.7
9.375e-05 11965
9.6875e-05 11770.3
0.0001 11584.8
0.000103125 11407.9
0.00010625 11238.7
0.000109375 11076.9
0.0001125 10921.8
0.000115625 10773.1
0.00011875 10630.3
0.000121875 10493.1
0.000125 10361
0.000128125 10233.7
0.00013125 10111
0.000134375 9992.68
0.0001375 9878.38
0.00014375 9661.04
0.00015 9457.44
0.00015625 9266.17
0.0001625 9086.04
0.00016875 8916.01
0.000175 8755.18
0.00018125 8602.72
0.0001875 8457.95
0.00019375 8320.25
0.0002 8189.05
0.000209375 8003.36
0.00021875 7829.74
0.000228125 7666.94
0.0002375 7513.87
0.000246875 7369.6
0.00025625 7233.3
0.000265625 7104.29
0.000275 6981.94
0.000284375 6865.68
0.00029375 6755.03
0.000303125 6649.54
0.0003125 6548.83
0.000321875 6452.57
0.00033125 6360.41
0.000340625 6272.07
0.00035 6187.31
0.000359375 6105.89
0.00036875 6027.59
0.000378125 5952.22
0.0003875 5879.6
0.000396875 5809.56
0.00040625 5741.97
0.000425 5613.53
0.00044375 5493.33
0.0004625 5380.5
0.00048125 5274.32
0.0005 5174.17
0.000515625 5094.91
0.00053125 5019.18
0.000546875 4946.7
0.0005625 4877.27
0.000578125 4810.67
0.00059375 4746.71
